date_local,co,pm10,o3,f0_
2000-01-01,0.455556,20.0,0.023588,27
2000-01-07,1.179167,53.0,0.011882,49
2000-01-13,1.229167,23.0,0.004529,21
2000-01-19,1.041667,14.0,0.011588,17
2000-01-25,0.825,11.0,0.016353,20
2000-01-31,0.804167,21.0,0.011824,19
2000-02-06,1.058333,22.0,0.008294,20
2000-02-12,0.483333,9.0,0.026941,26
2000-02-18,0.820833,29.0,0.007118,27
2000-02-24,0.866667,16.0,0.020471,23
2000-03-01,0.879167,33.0,0.019941,31
2000-03-07,0.6375,19.0,0.022529,27
2000-03-13,0.766667,24.0,0.024118,29
2000-03-19,0.620833,24.0,0.029294,31
2000-03-25,0.620833,19.0,0.030647,35
2000-03-31,0.654167,29.0,0.027,31
2000-04-06,0.504167,23.0,0.031,31
2000-04-12,0.695833,23.0,0.019471,21
2000-04-18,0.658333,17.0,0.030824,34
2000-04-24,0.816667,30.0,0.029647,33
2000-04-30,0.620833,21.0,0.027294,28
2000-05-06,0.483333,13.0,0.027529,32
2000-05-12,0.6625,23.0,0.028824,30
2000-05-18,0.679167,41.0,0.022941,38
2000-05-24,0.5,25.0,0.034471,38
2000-05-30,0.520833,34.0,0.022588,31
2000-06-11,0.5625,19.0,0.017,22
2000-06-17,0.516667,10.0,0.032941,32
2000-06-23,0.4625,33.0,0.019294,31
2000-06-29,0.358333,13.0,0.017353,18
2000-07-11,0.408333,16.0,0.022,22
2000-07-17,0.4375,20.0,0.018647,19
2000-07-23,0.466667,15.0,0.011824,14
2000-07-26,0.475,16.0,0.017235,18
2000-07-29,0.479167,10.0,0.009824,12
2000-08-04,0.483333,13.0,0.023412,23
2000-08-10,0.483333,10.0,0.014824,16
2000-08-16,0.808333,46.0,0.020235,43
2000-08-22,0.5375,18.0,0.018824,19
2000-08-28,0.520833,26.0,0.022529,24
2000-09-03,0.516667,14.0,0.018118,21
2000-09-09,0.583333,27.0,0.021412,25
2000-09-15,0.470833,9.0,0.015118,18
2000-09-21,0.483333,12.0,0.024412,26
2000-09-27,0.416667,16.0,0.031941,32
2000-10-03,0.4375,33.0,0.027118,31
2000-10-09,0.429167,11.0,0.023176,27
2000-10-15,0.441667,17.0,0.009471,19
2000-10-21,0.5125,23.0,0.024706,29
2000-10-27,0.554167,18.0,0.019765,19
2000-11-02,1.564286,37.0,0.003,34
2000-11-08,0.608333,25.0,0.022059,24
2000-11-14,0.733333,28.0,0.010706,26
2000-11-20,1.0,43.0,0.008882,40
2000-11-26,0.720833,31.0,0.004353,29
2000-12-02,1.241667,31.0,0.003647,29
2000-12-08,1.220833,43.0,0.014294,40
2000-12-14,0.6625,16.0,0.016176,20
2000-12-20,1.820833,63.0,0.002588,55
2000-12-26,1.133333,43.0,0.002353,40
2001-01-01,1.255556,54.0,0.007,50
2001-01-07,1.395833,64.0,0.010824,55
2001-01-19,1.091667,48.0,0.004471,44
2001-01-25,0.833333,15.0,0.010176,17
2001-01-31,1.15,26.0,0.005059,24
2001-02-06,0.695833,28.0,0.018471,26
2001-02-12,0.820833,8.0,0.013,19
2001-02-18,0.879167,9.0,0.027588,30
2001-02-24,0.6875,18.0,0.032824,32
2001-03-02,0.733333,21.0,0.013765,23
2001-03-08,0.529167,24.0,0.027588,31
2001-03-14,0.7,38.0,0.021059,35
2001-03-20,1.395833,36.0,0.023647,33
2001-03-26,0.7375,30.0,0.02,28
2001-04-01,0.575,23.0,0.041941,44
2001-04-07,0.4125,13.0,0.039471,38
2001-04-13,0.441667,22.0,0.03,39
2001-04-19,0.554167,21.0,0.034235,34
2001-04-25,0.858333,15.0,0.019235,22
2001-05-01,0.670833,34.0,0.019588,31
2001-05-07,0.779167,55.0,0.024176,51
2001-05-09,0.6125,51.0,0.033941,47
2001-05-13,0.5,13.0,0.034176,34
2001-05-19,0.595833,37.0,0.027529,34
2001-05-25,0.554167,11.0,0.027765,31
2001-05-31,0.9125,41.0,0.027529,39
2001-06-06,0.504167,23.0,0.021941,26
2001-06-12,0.5125,20.0,0.018588,22
2001-06-18,0.7125,56.0,0.014294,51
2001-06-24,0.441667,18.0,0.025176,26
2001-06-30,0.504167,29.0,0.025882,27
2001-07-06,0.458333,32.0,0.022765,30
2001-07-12,0.4,9.0,0.023294,23
2001-07-18,0.470833,20.0,0.012353,19
2001-07-24,0.520833,12.0,0.014706,17
2001-07-30,0.504167,9.0,0.010235,10
2001-08-05,0.416667,10.0,0.014647,17
2001-08-11,0.5,9.0,0.025882,26
2001-08-17,0.5,32.0,0.014118,30
2001-08-23,0.45,11.0,0.011118,13
2001-08-29,0.4125,16.0,0.020882,22
2001-09-04,0.429167,16.0,0.019353,19
2001-09-10,0.5375,27.0,0.019176,28
2001-09-16,0.470833,13.0,0.027824,27
2001-09-22,0.641667,18.0,0.022353,25
2001-09-28,0.6,23.0,0.019294,25
2001-10-04,0.679167,21.0,0.029059,30
2001-10-10,0.970833,54.0,0.019059,50
2001-10-16,0.577273,24.0,0.030118,33
2001-10-22,0.775,26.0,0.014765,24
2001-10-28,0.820833,33.0,0.014,31
2001-11-03,1.070833,22.0,0.003647,20
2001-11-09,1.775,67.0,0.007059,57
2001-11-15,1.1,38.0,0.006235,35
2001-11-21,0.5375,19.0,0.016412,24
2001-11-27,0.4875,15.0,0.007882,17
2001-12-03,0.566667,14.0,0.011929,17
2001-12-09,0.5,10.0,0.014176,26
2001-12-15,0.583333,16.0,0.010706,19
2001-12-21,0.704167,17.0,0.006294,16
2001-12-27,1.2,42.0,0.003294,39
2002-01-02,0.541667,10.0,0.010824,14
2002-01-08,1.6625,46.0,0.002824,43
2002-01-14,0.783333,30.0,0.012,28
2002-01-20,0.716667,17.0,0.014765,24
2002-01-26,0.733333,12.0,0.021706,24
2002-02-01,1.154167,49.0,0.006353,45
2002-02-07,0.683333,12.0,0.017529,21
2002-02-13,0.7375,24.0,0.005765,22
2002-02-25,1.154167,28.0,0.008412,26
2002-03-03,1.120833,36.0,0.023882,39
2002-03-09,0.633333,14.0,0.031941,32
2002-03-15,0.5875,15.0,0.035412,36
2002-03-21,0.546154,18.0,0.027636,28
2002-03-27,0.95,38.0,0.013941,35
2002-04-02,0.7125,26.0,0.037882,38
2002-04-08,0.458333,13.0,0.027765,28
2002-04-14,0.525,20.0,0.041235,45
2002-04-20,0.558333,33.0,0.036294,37
2002-04-26,0.579167,34.0,0.032824,38
2002-05-02,0.629167,15.0,0.033353,35
2002-05-08,0.670833,40.0,0.032765,37
2002-05-14,0.479167,27.0,0.031529,31
2002-05-20,0.383333,14.0,0.036471,35
2002-05-26,0.4,9.0,0.021353,24
2002-06-01,0.2625,34.0,0.032588,32
2002-06-07,0.316667,47.0,0.022118,44
2002-06-13,0.320833,8.0,0.033765,33
2002-06-19,0.376471,35.0,0.022867,32
2002-06-25,0.383333,11.0,0.022588,23
2002-07-01,0.620833,36.0,0.025824,33
2002-07-07,0.325,6.0,0.014882,18
2002-07-13,0.3875,11.0,0.023294,23
2002-07-19,0.441667,20.0,0.012824,19
2002-07-25,0.445833,12.0,0.022706,24
2002-07-31,0.504167,14.0,0.029412,30
2002-08-06,0.516667,24.0,0.021941,24
2002-08-12,0.683333,28.0,0.028765,30
2002-08-18,0.575,40.0,0.027059,37
2002-08-24,0.583333,11.0,0.019647,23
2002-08-30,0.441667,14.0,0.028412,31
2002-09-05,0.445833,12.0,0.025235,27
2002-09-11,0.704167,12.0,0.018412,20
2002-09-17,0.604167,18.0,0.011706,19
2002-09-23,0.954167,22.0,0.016941,20
2002-09-29,0.633333,13.0,0.035882,35
2002-10-05,1.004167,34.0,0.013882,31
2002-10-11,0.641667,27.0,0.013353,25
2002-10-17,0.558333,23.0,0.038529,38
2002-10-23,0.5125,9.0,0.025176,29
2002-10-29,0.704167,35.0,0.012,32
2002-11-04,0.570833,17.0,0.020353,22
2002-11-10,0.558333,20.0,0.020882,30
2002-11-16,1.3125,49.0,0.015471,45
2002-11-22,0.891667,31.0,0.028941,29
2002-11-28,1.091667,69.0,0.012353,58
2002-12-04,1.270833,74.0,0.003353,60
2002-12-10,0.69375,25.0,0.0079,23
2002-12-16,0.583333,27.0,0.029294,29
2002-12-22,0.545833,9.0,0.021647,23
2002-12-28,0.370833,9.0,0.032235,33
2003-01-03,0.9875,31.0,0.002471,29
2003-01-09,1.083333,39.0,0.003882,36
2003-01-15,0.85,22.0,0.003824,20
2003-01-21,1.216667,31.0,0.000294,29
2003-01-27,0.7,29.0,0.009917,27
2003-02-02,0.533333,14.0,0.011588,25
2003-02-08,0.966667,23.0,0.008471,21
