date_local,co,pm10,o3,aqi
2000-01-01,1.142105,71.0,0.032647,59
2000-01-02,0.0,106.0,0.030412,76
2000-01-03,0.370833,36.0,0.01,33
2000-01-04,1.1625,64.0,0.009,55
2000-01-05,1.158333,50.0,0.026118,46
2000-01-06,0.420833,42.0,0.011647,39
2000-01-07,1.775,67.0,0.007412,57
2000-01-08,2.208333,66.0,0.004647,56
2000-01-09,1.091667,46.0,0.004941,43
2000-01-10,1.545833,77.0,0.004176,62
2000-01-11,1.6625,73.0,0.003941,60
2000-01-12,1.445833,68.0,0.006588,57
2000-01-13,1.704167,65.0,0.006882,56
2000-01-14,2.304167,72.0,0.004235,59
2000-01-15,1.7625,74.0,0.003706,60
2000-01-16,1.8375,55.0,0.006235,53
2000-01-17,0.604167,47.0,0.000471,44
2000-01-18,1.066667,54.0,0.004059,50
2000-01-19,1.091667,61.0,0.007941,54
2000-01-22,0.504167,43.0,0.012765,40
2000-01-23,0.866667,34.0,0.016059,39
2000-01-24,0.0375,30.0,0.015706,28
2000-01-25,0.0,33.0,0.015706,31
2000-01-26,0.0,72.0,0.024529,59
2000-01-27,0.333333,36.0,0.011647,33
2000-01-28,0.554167,36.0,0.012941,33
2000-01-29,0.8125,45.0,0.010353,42
2000-01-30,0.466667,30.0,0.009059,28
2000-01-31,0.354167,48.0,0.007882,44
2000-02-01,1.1,52.0,0.011882,48
2000-02-02,1.620833,57.0,0.010529,52
2000-02-03,1.379167,59.0,0.008824,53
2000-02-04,1.045833,59.0,0.013176,53
2000-02-05,1.516667,65.0,0.010941,56
2000-02-06,1.625,63.0,0.012059,55
2000-02-07,2.095833,70.0,0.013471,58
2000-02-08,1.504167,74.0,0.002118,60
2000-02-09,0.4875,40.0,0.019118,37
2000-02-10,0.033333,43.0,0.031118,40
2000-02-12,0.004167,27.0,0.022647,38
2000-02-13,0.104167,22.0,0.029235,33
2000-02-14,0.0,33.0,0.027706,31
2000-02-15,0.4,44.0,0.015,41
2000-02-16,0.983333,43.0,0.031471,40
2000-02-17,0.025,19.0,0.015235,31
2000-02-18,0.266667,29.0,0.013765,30
2000-02-19,0.529167,25.0,0.013647,31
2000-02-20,0.475,26.0,0.022647,24
2000-02-21,0.058333,18.0,0.017412,28
2000-02-22,0.275,24.0,0.032647,35
2000-02-23,0.0,18.0,0.023647,37
2000-02-24,0.1,19.0,0.017294,38
2000-02-26,0.525,28.0,0.017706,32
2000-02-27,0.870833,31.0,0.033706,33
2000-02-28,0.0625,22.0,0.017059,36
2000-03-01,0.0,16.0,0.027471,36
2000-03-02,0.154167,25.0,0.017176,37
2000-03-03,0.679167,41.0,0.018529,42
2000-03-04,0.825,32.0,0.029176,37
2000-03-05,0.0,20.0,0.036882,36
2000-03-06,0.0,17.0,0.031588,44
2000-03-07,0.0,23.0,0.038941,41
2000-03-08,0.0,18.0,0.024529,30
2000-03-09,0.341667,34.0,0.015294,31
2000-03-11,0.429167,32.0,0.0324,42
2000-03-13,0.633333,43.0,0.014786,44
2000-03-14,0.833333,51.0,0.017824,47
2000-03-15,0.333333,60.0,0.037,53
2000-03-16,0.066667,37.0,0.034,48
2000-03-17,0.208333,58.0,0.020176,52
2000-03-18,0.466667,32.0,0.021412,45
2000-03-19,0.483333,54.0,0.034294,50
2000-03-20,0.041667,89.0,0.042294,68
2000-03-21,0.0,37.0,0.033765,41
2000-03-22,0.170833,36.0,0.021,46
2000-03-23,0.254167,46.0,0.029765,61
2000-03-25,0.379167,42.0,0.034176,90
2000-03-26,0.291667,38.0,0.029294,80
2000-03-27,0.341667,47.0,0.034588,44
2000-03-28,0.0,36.0,0.023882,46
2000-03-29,0.066667,52.0,0.033706,54
2000-03-30,0.0,76.0,0.040412,61
2000-03-31,0.0,73.0,0.049824,60
2000-04-01,0.0,40.0,0.024471,51
2000-04-02,0.0,37.0,0.021294,44
2000-04-03,0.066667,57.0,0.022059,52
2000-04-04,0.0,49.0,0.024471,50
2000-04-05,0.0,45.0,0.027235,44
2000-04-10,0.0,44.0,0.028059,44
2000-04-11,0.1,39.0,0.025412,61
2000-04-12,0.508333,48.0,0.023824,51
2000-04-13,0.479167,66.0,0.030824,56
2000-04-14,0.0,38.0,0.032706,42
2000-04-15,0.0,22.0,0.036765,49
2000-04-16,0.0,32.0,0.037471,45
2000-04-17,0.2,45.0,0.040529,43
2000-04-18,0.0,21.0,0.029706,45
2000-04-19,0.2625,32.0,0.027412,54
2000-04-20,0.525,43.0,0.026118,71
2000-04-22,0.0,32.0,0.046706,74
2000-04-23,0.0,39.0,0.039412,67
2000-04-24,0.1375,41.0,0.028353,77
2000-04-25,0.558333,51.0,0.029588,80
2000-04-26,0.725,58.0,0.028412,80
2000-04-27,0.629167,62.0,0.050471,87
2000-04-28,0.041667,80.0,0.053706,63
2000-04-29,0.0,47.0,0.040529,49
2000-04-30,0.116667,32.0,0.029647,71
2000-05-01,0.725,57.0,0.030529,97
2000-05-02,0.620833,48.0,0.028765,74
2000-05-03,0.2875,45.0,0.035765,74
2000-05-05,0.016667,46.0,0.051765,54
2000-05-06,0.0,45.0,0.049765,64
2000-05-07,0.0,57.0,0.035118,52
2000-05-08,0.070833,64.0,0.025706,55
2000-05-09,0.304167,70.0,0.043824,58
2000-05-10,0.0,188.0,0.058294,117
2000-05-11,0.0,48.0,0.036941,50
2000-05-12,0.125,27.0,0.025353,48
2000-05-13,0.616667,39.0,0.030706,80
2000-05-14,0.6625,39.0,0.041118,93
2000-05-15,0.220833,46.0,0.048176,49
2000-05-16,0.0,35.0,0.042353,45
2000-05-17,0.0,32.0,0.046412,45
2000-05-18,0.016667,28.0,0.032059,67
2000-05-20,0.725,48.0,0.030353,71
2000-05-21,0.558333,36.0,0.031706,90
2000-05-22,0.483333,51.0,0.030235,84
2000-05-23,0.379167,56.0,0.043294,112
2000-05-24,0.020833,87.0,0.043765,67
2000-05-25,0.066667,53.0,0.043,54
2000-05-27,0.179167,38.0,0.048647,87
2000-05-28,0.0,35.0,0.051235,90
2000-05-29,0.0,30.0,0.032294,41
2000-05-30,0.0,44.0,0.059176,105
2000-05-31,0.104167,35.0,0.040353,105
2000-06-01,0.05,38.0,0.038353,112
2000-06-02,0.329167,54.0,0.024647,50
2000-06-03,0.504167,45.0,0.032059,90
2000-06-04,0.491667,39.0,0.047882,129
2000-06-05,0.12,43.0,0.027706,45
2000-06-06,0.557143,50.0,0.032294,80
2000-06-07,0.178571,54.0,0.051235,61
2000-06-08,0.0,53.0,0.044824,49
2000-06-10,0.166667,30.0,0.043765,100
2000-06-11,0.058333,40.0,0.046353,122
2000-06-12,0.175,57.0,0.042529,122
2000-06-13,0.125,43.0,0.035941,45
2000-06-14,0.141667,37.0,0.017941,35
2000-06-15,0.391667,46.0,0.028118,49
2000-06-16,0.016667,59.0,0.042529,53
2000-06-17,0.016667,39.0,0.041294,74
2000-06-18,0.0,53.0,0.043529,49
2000-06-19,0.025,38.0,0.029765,51
2000-06-20,0.354167,49.0,0.036588,100
2000-06-21,0.341667,69.0,0.037706,61
2000-06-22,0.154167,54.0,0.050471,71
2000-06-23,0.0,43.0,0.047765,90
2000-06-24,0.133333,46.0,0.032765,54
2000-06-25,0.257143,32.0,0.030824,74
2000-06-26,0.233333,48.0,0.033118,61
2000-06-27,0.233333,52.0,0.032706,74
2000-06-28,0.133333,51.0,0.041118,77
2000-06-29,0.195833,77.0,0.051765,97
2000-07-01,0.0,35.0,0.057882,93
2000-07-02,0.0,35.0,0.063714,80
2000-07-14,0.870833,34.0,0.023667,49
2000-07-15,0.858333,36.0,0.043529,105
2000-07-16,0.1125,34.0,0.034,64
2000-07-17,0.029167,40.0,0.021176,38
2000-07-18,0.325,44.0,0.016529,41
2000-07-19,0.383333,50.0,0.024353,47
2000-07-20,0.470833,51.0,0.021353,47
2000-07-22,0.683333,54.0,0.027588,64
2000-07-23,0.6375,61.0,0.043176,58
2000-07-24,0.116667,54.0,0.034882,93
2000-07-25,0.229167,52.0,0.045647,90
2000-07-26,0.216667,40.0,0.041529,71
2000-07-27,0.2375,42.0,0.027412,61
2000-07-28,0.504167,50.0,0.027882,64
2000-07-29,0.308333,42.0,0.049765,105
2000-07-30,0.1,52.0,0.036588,84
2000-07-31,0.554167,126.0,0.040118,86
2000-08-01,0.2875,79.0,0.037765,112
2000-08-02,0.191667,59.0,0.055471,150
2000-08-03,0.425,43.0,0.037176,105
2000-08-04,0.6625,41.0,0.033118,97
2000-08-05,0.641667,38.0,0.040118,112
2000-08-06,0.575,39.0,0.050882,119
2000-08-07,0.241667,54.0,0.038059,51
2000-08-08,0.2125,54.0,0.029,50
2000-08-09,0.341667,54.0,0.028765,84
2000-08-10,0.654167,51.0,0.030294,51
2000-08-11,0.125,52.0,0.023529,48
2000-08-12,0.383333,149.0,0.034118,98
2000-08-13,0.458333,189.0,0.048824,118
2000-08-14,0.270833,77.0,0.036588,62
2000-08-15,0.479167,68.0,0.023882,57
2000-08-16,0.4875,73.0,0.032059,67
2000-08-17,0.466667,37.0,0.054706,101
2000-08-19,0.058333,37.0,0.037647,43
2000-08-20,0.216667,28.0,0.028882,67
2000-08-21,0.916667,51.0,0.024941,49
2000-08-22,0.4875,59.0,0.037,53
2000-08-23,0.5,50.0,0.034412,64
2000-08-24,0.745833,57.0,0.026882,52
2000-08-25,0.570833,33.0,0.045176,71
2000-08-26,0.333333,31.0,0.049412,112
2000-08-30,0.270833,23.0,0.011462,25
2000-08-31,0.658333,24.0,0.018412,33
2000-09-01,0.425,43.0,0.033176,43
2000-09-02,0.020833,20.0,0.022412,44
2000-09-03,0.2625,26.0,0.027176,51
2000-09-04,0.554167,27.0,0.027647,61
2000-09-05,0.316667,36.0,0.027235,40
2000-09-06,0.175,46.0,0.027941,80
2000-09-07,0.7375,48.0,0.019706,44
2000-09-08,0.091667,31.0,0.020882,45
2000-09-09,0.4125,37.0,0.029235,84
2000-09-10,0.3,31.0,0.028294,58
2000-09-11,0.366667,49.0,0.019941,45
2000-09-12,1.104167,68.0,0.021824,57
2000-09-14,1.154545,62.0,0.021059,54
2000-09-15,1.016667,71.0,0.018235,59
2000-09-16,0.808333,50.0,0.024824,50
2000-09-17,0.616667,45.0,0.027059,49
2000-09-18,0.183333,39.0,0.017412,38
2000-09-19,0.870833,60.0,0.019176,53
2000-09-20,0.825,53.0,0.019353,49
2000-09-21,0.358333,79.0,0.045706,63
2000-09-22,0.0,80.0,0.033471,63
2000-09-23,0.0,35.0,0.034824,39
2000-09-24,0.216667,24.0,0.017353,39
2000-09-25,1.120833,48.0,0.018059,44
2000-09-26,0.7375,46.0,0.017824,43
2000-09-27,1.15,64.0,0.017824,55
2000-09-28,0.604167,48.0,0.018882,44
2000-09-29,0.7,49.0,0.014706,45
2000-09-30,0.9375,56.0,0.016353,51
2000-10-01,0.504167,39.0,0.017176,36
2000-10-02,0.420833,50.0,0.032235,46
2000-10-03,0.333333,52.0,0.016059,48
2000-10-04,0.895833,74.0,0.005706,60
2000-10-05,1.508333,49.0,0.016294,45
2000-10-07,1.145833,48.0,0.015235,44
2000-10-08,1.0625,45.0,0.017294,42
2000-10-09,0.841667,67.0,0.037429,57
2000-10-10,0.0625,42.0,0.038471,41
2000-10-11,0.370833,22.0,0.024176,38
2000-10-12,0.583333,30.0,0.016294,35
2000-10-13,0.291667,34.0,0.016059,37
2000-10-14,0.5625,38.0,0.016941,40
2000-10-15,1.1,40.0,0.018706,44
2000-10-16,0.941667,47.0,0.016353,44
2000-10-17,1.304167,54.0,0.014706,50
2000-10-18,1.35,78.0,0.010765,62
2000-10-19,0.666667,52.0,0.014235,48
2000-10-20,0.8875,51.0,0.022353,47
2000-10-21,0.0,60.0,0.042,53
2000-10-22,0.0,20.0,0.026588,29
2000-10-23,0.175,28.0,0.003824,26
2000-10-24,0.820833,30.0,0.021059,28
2000-10-25,0.420833,26.0,0.017412,32
2000-10-26,0.116667,31.0,0.020529,37
2000-10-27,0.304167,23.0,0.010294,27
2000-10-28,0.475,24.0,0.024353,34
2000-10-29,0.2625,21.0,0.018647,34
2000-10-30,0.345833,14.0,0.030176,34
2000-10-31,0.1125,16.0,0.026,29
2000-11-01,0.220833,29.0,0.013,31
2000-11-03,0.2625,24.0,0.029778,31
2000-11-04,0.658333,34.0,0.012941,35
2000-11-05,1.333333,32.0,0.010529,34
2000-11-07,0.441667,24.0,0.016824,31
2000-11-08,1.179167,46.0,0.010467,43
2000-11-09,0.483333,43.0,0.030533,40
2000-11-10,0.183333,23.0,0.021235,31
2000-11-11,0.591667,21.0,0.016765,29
2000-11-12,0.7,23.0,0.012941,32
2000-11-13,0.458333,34.0,0.011235,31
2000-11-14,0.741667,43.0,0.016765,40
2000-11-15,0.129167,32.0,0.012706,30
2000-11-16,0.270833,23.0,0.017176,31
2000-11-17,0.8,30.0,0.020176,30
2000-11-18,1.041667,38.0,0.010941,38
2000-11-19,2.008333,52.0,0.008412,48
2000-11-20,2.829167,82.0,0.003,64
2000-11-21,2.320833,84.0,0.002471,65
2000-11-22,1.933333,62.0,0.013765,54
2000-11-23,0.6875,54.0,0.009176,50
2000-11-24,2.129167,48.0,0.004941,47
2000-11-25,1.133333,44.0,0.009882,41
2000-11-26,1.366667,47.0,0.007941,44
2000-11-27,1.841667,76.0,0.003059,61
2000-11-28,2.095833,71.0,0.003235,59
2000-11-29,1.733333,70.0,0.019765,58
2000-11-30,1.0625,69.0,0.005235,58
2000-12-01,1.783333,63.0,0.006941,55
2000-12-02,1.104167,42.0,0.008529,40
2000-12-03,2.1625,54.0,0.007588,50
2000-12-04,2.35,88.0,0.002941,67
2000-12-05,1.408333,68.0,0.004118,57
2000-12-06,2.275,90.0,0.000765,68
2000-12-07,1.691667,70.0,0.001824,58
2000-12-08,1.804167,79.0,0.002176,63
2000-12-09,1.441667,43.0,0.003882,42
2000-12-10,1.125,41.0,0.007647,38
2000-12-11,1.145833,42.0,0.005235,39
2000-12-12,0.808333,64.0,0.013176,55
2000-12-13,0.441667,33.0,0.008313,31
